item_code,region,segment,format,sales_total,sales_mean,units_total,units_mean,price_mean,var_pct_mean,high_value_ratio,high_turnover_ratio,n_weeks,cluster,cluster_nombre
7501058751188,Area 4,Liquid & Gel,Liquido,2487.709,31.096362499999998,25.993,0.3249125,96.28275,-88.14475,1.0,0.075,80,2,Nicho Premium
7501058751188,Area 5,Liquid & Gel,Liquido,7655.123,95.6890375,79.977,0.9997125,96.459625,-77.8225,1.0,0.9875,80,3,Motor de Ingresos
7501058751188,Area 6,Liquid & Gel,Liquido,2987.698,37.346225,31.071,0.3883875,96.389375,-86.593875,1.0,0.125,80,2,Nicho Premium
7501058751195,Area 1,Liquid & Gel,Liquido,6267.533,78.34416250000001,112.547,1.4068375,55.74912500000001,-68.29400000000001,1.0,0.9875,80,3,Motor de Ingresos
7501058751195,Area 2,Liquid & Gel,Liquido,11348.436,141.85545,220.045,2.7505625,51.67925,-47.384875,1.0,1.0,80,3,Motor de Ingresos
7501058751195,Area 3,Liquid & Gel,Liquido,7510.26,93.87825000000001,133.683,1.6710375,56.469375,-68.121875,1.0,1.0,80,3,Motor de Ingresos
7501058751195,Area 4,Liquid & Gel,Liquido,5280.378,66.004725,94.24,1.178,56.351125,-70.155625,1.0,0.925,80,3,Motor de Ingresos
7501058751195,Area 5,Liquid & Gel,Liquido,10065.654,125.82067500000001,183.184,2.2898,55.34525,-66.615375,1.0,1.0,80,3,Motor de Ingresos
7501058751195,Area 6,Liquid & Gel,Liquido,5641.843,70.5230375,99.99,1.2498749999999998,56.605999999999995,-67.7335,1.0,0.9,80,3,Motor de Ingresos
7501058751461,Area 1,Liquid & Gel,Liquido,3135.22,39.19025,16.767,0.20958749999999998,188.50062499999999,-88.406875,1.0,0.0,80,2,Nicho Premium
7501058751461,Area 2,Liquid & Gel,Liquido,5849.018,73.112725,34.482,0.431025,171.144625,-82.71437499999999,1.0,0.05,80,2,Nicho Premium
7501058751461,Area 3,Liquid & Gel,Liquido,3635.24,45.4405,19.806,0.24757500000000002,185.268375,-90.57525000000001,1.0,0.0875,80,2,Nicho Premium
7501058751461,Area 4,Liquid & Gel,Liquido,2533.049,31.6631125,14.081,0.1760125,181.292125,-92.366125,1.0,0.0625,80,2,Nicho Premium
7501058751461,Area 5,Liquid & Gel,Liquido,7356.446,91.955575,40.44,0.5055,184.252125,-86.958875,1.0,0.8125,80,3,Motor de Ingresos
7501058751461,Area 6,Liquid & Gel,Liquido,2319.236,28.99045,12.874,0.160925,180.558375,-92.477875,1.0,0.0,80,2,Nicho Premium
7501058752772,Area 2,Liquid & Gel,Liquido,863.578,10.794725,32.562,0.40702499999999997,26.593624999999996,-95.19125,0.0,1.0,80,1,Volumen Diversificado
